 ,Area,Mean,Min,Max,X,Y
1,0,137,137,137,204.000,294.000
2,0,181,181,181,491.500,284.500
3,0,190,190,190,767.500,272.500
4,0,176,176,176,1043.500,266.500
5,0,137,137,137,1340.500,275.500
6,0,171,171,171,1613.500,254.500
7,0,167,167,167,1856.500,251.500
8,0,157,157,157,1925.500,155.500
9,0,154,154,154,2102.500,242.500
10,0,147,147,147,2204.500,158.500
11,0,175,175,175,2189.500,515.500
12,0,176,176,176,1883.500,512.500
13,0,173,173,173,1574.500,533.500
14,0,168,168,168,1211.500,539.500
15,0,157,157,157,887.500,554.500
16,0,116,116,116,545.500,554.500
17,0,110,110,110,206.500,578.500
18,0,124,124,124,86.500,941.500
19,0,144,144,144,326.500,914.500
20,0,143,143,143,596.500,899.500
21,0,171,171,171,1121.500,863.500
22,0,115,115,115,1346.500,863.500
23,0,161,161,161,1613.500,863.500
24,0,175,175,175,1889.500,848.500
25,0,182,182,182,2195.500,827.500
26,0,201,201,201,2249.500,1166.500
27,0,161,161,161,1949.500,1184.500
28,0,203,203,203,1643.500,1196.500
29,0,123,123,123,1370.500,1208.500
30,0,193,193,193,1115.500,1175.500
31,0,175,175,175,902.500,1181.500
32,0,151,151,151,683.500,1193.500
33,0,160,160,160,443.500,1199.500
34,0,133,133,133,83.500,1451.500
35,0,166,166,166,173.500,1223.500
36,0,136,136,136,497.500,1430.500
37,0,156,156,156,71.500,1655.500
38,0,137,137,137,311.500,1643.500
39,0,150,150,150,572.500,1622.500
40,0,165,165,165,935.500,1433.500
41,0,93,93,93,866.500,1610.500
42,0,142,142,142,1115.500,1589.500
43,0,184,184,184,1286.500,1424.500
44,0,187,187,187,1394.500,1577.500
45,0,134,134,134,1562.500,1409.500
46,0,166,166,166,1685.500,1565.500
47,0,178,178,178,1877.500,1400.500
48,0,170,170,170,2156.500,1364.500
49,0,113,113,113,2393.500,1337.500
50,0,122,122,122,2528.500,1160.500
51,0,172,172,172,2420.500,1562.500
52,0,78,78,78,2141.500,1568.500
53,0,120,120,120,2222.500,1802.500
54,0,132,132,132,1859.500,1811.500
55,0,169,169,169,1517.500,1817.500
56,0,154,154,154,1265.500,1820.500
57,0,173,173,173,1076.500,1826.500
58,0,188,188,188,848.500,1865.500
59,0,165,165,165,629.500,1862.500
