 ,Area,Mean,Min,Max,X,Y
1,0,131,131,131,243.000,147.000
2,0,172,172,172,497.500,140.500
3,0,175,175,175,725.500,134.500
4,0,138,138,138,965.500,131.500
5,0,160,160,160,1193.500,122.500
6,0,161,161,161,1403.500,128.500
7,0,126,126,126,1610.500,125.500
8,0,155,155,155,1841.500,116.500
9,0,151,151,151,2045.500,116.500
10,0,154,154,154,2342.500,119.500
11,0,110,110,110,179.500,452.500
12,0,155,155,155,476.500,440.500
13,0,149,149,149,491.500,527.500
14,0,140,140,140,710.500,443.500
15,0,157,157,157,947.500,428.500
16,0,167,167,167,1157.500,503.500
17,0,137,137,137,1226.500,413.500
18,0,151,151,151,1418.500,500.500
19,0,163,163,163,1616.500,497.500
20,0,167,167,167,1742.500,422.500
21,0,150,150,150,1868.500,527.500
22,0,167,167,167,2000.500,416.500
23,0,150,150,150,2222.500,422.500
24,0,149,149,149,2441.500,416.500
25,0,144,144,144,2369.500,668.500
26,0,143,143,143,2318.500,764.500
27,0,146,146,146,2147.500,770.500
28,0,128,128,128,1979.500,785.500
29,0,148,148,148,1889.500,701.500
30,0,189,189,189,1739.500,794.500
31,0,129,129,129,1586.500,704.500
32,0,208,208,208,1571.500,797.500
33,0,126,126,126,1418.500,782.500
34,0,131,131,131,1313.500,698.500
35,0,166,166,166,1193.500,779.500
36,0,181,181,181,974.500,806.500
37,0,164,164,164,860.500,719.500
38,0,162,162,162,677.500,734.500
39,0,154,154,154,641.500,812.500
40,0,185,185,185,380.500,788.500
41,0,164,164,164,104.500,779.500
42,0,172,172,172,191.500,1058.500
43,0,134,134,134,425.500,1079.500
44,0,153,153,153,608.500,1076.500
45,0,123,123,123,788.500,1070.500
46,0,112,112,112,986.500,1073.500
47,0,124,124,124,1196.500,1079.500
48,0,167,167,167,1436.500,1085.500
49,0,129,129,129,1664.500,1076.500
50,0,161,161,161,1817.500,1070.500
51,0,142,142,142,2009.500,1067.500
52,0,142,142,142,2243.500,1061.500
53,0,141,141,141,2426.500,1031.500
54,0,171,171,171,2339.500,1340.500
55,0,144,144,144,2249.500,1445.500
56,0,174,174,174,2012.500,1361.500
57,0,128,128,128,1916.500,1457.500
58,0,107,107,107,1733.500,1364.500
59,0,204,204,204,1643.500,1460.500
60,0,139,139,139,1466.500,1367.500
61,0,199,199,199,1418.500,1469.500
62,0,153,153,153,1220.500,1370.500
63,0,142,142,142,1151.500,1469.500
64,0,137,137,137,986.500,1463.500
65,0,102,102,102,911.500,1370.500
66,0,101,101,101,779.500,1457.500
67,0,135,135,135,674.500,1370.500
68,0,133,133,133,539.500,1457.500
69,0,134,134,134,299.500,1379.500
70,0,134,134,134,260.500,1469.500
71,0,155,155,155,92.500,1385.500
72,0,191,191,191,122.500,1772.500
73,0,126,126,126,68.500,1886.500
74,0,113,113,113,353.500,1763.500
75,0,171,171,171,293.500,1868.500
76,0,75,75,75,536.500,1868.500
77,0,181,181,181,578.500,1769.500
78,0,156,156,156,725.500,1841.500
79,0,146,146,146,929.500,1859.500
80,0,151,151,151,1166.500,1871.500
81,0,155,155,155,1391.500,1769.500
82,0,96,96,96,1382.500,1868.500
83,0,116,116,116,1580.500,1763.500
84,0,102,102,102,1682.500,1856.500
85,0,143,143,143,1772.500,1748.500
86,0,113,113,113,1919.500,1847.500
87,0,132,132,132,2042.500,1751.500
88,0,171,171,171,2198.500,1841.500
89,0,80,80,80,2402.500,1730.500
90,0,157,157,157,2486.500,1835.500
