 ,Area,Mean,Min,Max,X,Y
1,0,134,134,134,282.000,156.000
2,0,131,131,131,452.500,137.500
3,0,160,160,160,650.500,113.500
4,0,138,138,138,872.500,89.500
5,0,140,140,140,1028.500,65.500
6,0,145,145,145,1193.500,50.500
7,0,190,190,190,1145.500,161.500
8,0,172,172,172,809.500,200.500
9,0,173,173,173,1403.500,50.500
10,0,159,159,159,227.500,509.500
11,0,142,142,142,110.500,629.500
12,0,169,169,169,359.500,593.500
13,0,179,179,179,578.500,566.500
14,0,158,158,158,581.500,452.500
15,0,114,114,114,815.500,455.500
16,0,168,168,168,1004.500,419.500
17,0,183,183,183,1130.500,518.500
18,0,146,146,146,1322.500,482.500
19,0,145,145,145,1505.500,473.500
20,0,117,117,117,1700.500,443.500
21,0,129,129,129,1946.500,431.500
22,0,157,157,157,2030.500,314.500
23,0,168,168,168,2276.500,281.500
24,0,139,139,139,107.500,1001.500
25,0,110,110,110,350.500,986.500
26,0,172,172,172,581.500,965.500
27,0,157,157,157,776.500,941.500
28,0,157,157,157,995.500,911.500
29,0,155,155,155,1244.500,890.500
30,0,121,121,121,1430.500,863.500
31,0,187,187,187,1679.500,848.500
32,0,143,143,143,1907.500,824.500
33,0,181,181,181,2057.500,797.500
34,0,163,163,163,2225.500,770.500
35,0,160,160,160,2408.500,746.500
36,0,173,173,173,56.500,1397.500
37,0,131,131,131,173.500,1292.500
38,0,187,187,187,335.500,1409.500
39,0,194,194,194,377.500,1286.500
40,0,92,92,92,566.500,1259.500
41,0,121,121,121,569.500,1358.500
42,0,152,152,152,758.500,1340.500
43,0,120,120,120,776.500,1244.500
44,0,149,149,149,986.500,1226.500
45,0,218,218,218,968.500,1340.500
46,0,130,130,130,1130.500,1196.500
47,0,167,167,167,1313.500,1280.500
48,0,132,132,132,1349.500,1175.500
49,0,173,173,173,1493.500,1268.500
50,0,188,188,188,1505.500,1148.500
51,0,223,223,223,1673.500,1232.500
52,0,110,110,110,1838.500,1214.500
53,0,173,173,173,2045.500,1196.500
54,0,123,123,123,2204.500,1139.500
55,0,185,185,185,2387.500,1100.500
56,0,148,148,148,2528.500,1397.500
57,0,205,205,205,2501.500,1508.500
58,0,208,208,208,2360.500,1418.500
59,0,143,143,143,2318.500,1538.500
60,0,147,147,147,2174.500,1559.500
61,0,152,152,152,2018.500,1571.500
62,0,96,96,96,1871.500,1583.500
63,0,107,107,107,1787.500,1496.500
64,0,201,201,201,1670.500,1604.500
65,0,126,126,126,1526.500,1619.500
66,0,178,178,178,1373.500,1655.500
67,0,165,165,165,1298.500,1565.500
68,0,150,150,150,1148.500,1562.500
69,0,186,186,186,1103.500,1664.500
70,0,178,178,178,944.500,1580.500
71,0,171,171,171,923.500,1679.500
72,0,173,173,173,725.500,1685.500
73,0,171,171,171,746.500,1592.500
74,0,104,104,104,599.500,1616.500
75,0,122,122,122,458.500,1643.500
76,0,166,166,166,455.500,1748.500
77,0,174,174,174,218.500,1694.500
78,0,130,130,130,59.500,1727.500
79,0,151,151,151,1673.500,1895.500
80,0,158,158,158,1853.500,1883.500
81,0,168,168,168,2036.500,1874.500
82,0,147,147,147,2207.500,1853.500
83,0,164,164,164,2402.500,1832.500
