 ,Area,Mean,Min,Max,X,Y
1,0,151,151,151,116.000,198.000
2,0,155,155,155,255.500,209.500
3,0,170,170,170,691.500,149.500
4,0,127,127,127,895.500,113.500
5,0,175,175,175,1323.500,93.500
6,0,143,143,143,1481.500,71.500
7,0,156,156,156,1639.500,63.500
8,0,135,135,135,1785.500,59.500
9,0,158,158,158,1939.500,51.500
10,0,174,174,174,2083.500,25.500
11,0,140,140,140,2325.500,33.500
12,0,175,175,175,123.500,417.500
13,0,182,182,182,291.500,425.500
14,0,177,177,177,505.500,407.500
15,0,168,168,168,715.500,385.500
16,0,164,164,164,889.500,365.500
17,0,164,164,164,1023.500,415.500
18,0,168,168,168,1237.500,407.500
19,0,145,145,145,1437.500,389.500
20,0,203,203,203,1637.500,295.500
21,0,179,179,179,1647.500,379.500
22,0,108,108,108,1809.500,383.500
23,0,166,166,166,1925.500,291.500
24,0,175,175,175,2169.500,265.500
25,0,161,161,161,2175.500,345.500
26,0,162,162,162,91.500,773.500
27,0,177,177,177,279.500,761.500
28,0,167,167,167,499.500,735.500
29,0,137,137,137,697.500,715.500
30,0,149,149,149,869.500,703.500
31,0,191,191,191,1047.500,681.500
32,0,141,141,141,1283.500,681.500
33,0,190,190,190,1509.500,665.500
34,0,154,154,154,1673.500,657.500
35,0,154,154,154,1871.500,633.500
36,0,160,160,160,2049.500,617.500
37,0,169,169,169,2239.500,609.500
38,0,156,156,156,2449.500,581.500
39,0,172,172,172,209.500,1117.500
40,0,160,160,160,421.500,1081.500
41,0,163,163,163,657.500,1059.500
42,0,142,142,142,901.500,1047.500
43,0,188,188,188,1069.500,1031.500
44,0,128,128,128,1221.500,1033.500
45,0,192,192,192,1389.500,1021.500
46,0,139,139,139,1595.500,1011.500
47,0,145,145,145,1823.500,987.500
48,0,132,132,132,2005.500,973.500
49,0,140,140,140,2215.500,957.500
50,0,124,124,124,2435.500,935.500
51,0,158,158,158,2413.500,1223.500
52,0,149,149,149,2231.500,1235.500
53,0,146,146,146,2033.500,1253.500
54,0,134,134,134,1881.500,1257.500
55,0,177,177,177,1673.500,1289.500
56,0,140,140,140,1497.500,1315.500
57,0,182,182,182,1227.500,1327.500
58,0,171,171,171,1021.500,1329.500
59,0,147,147,147,845.500,1349.500
60,0,147,147,147,663.500,1351.500
61,0,160,160,160,441.500,1363.500
62,0,143,143,143,219.500,1389.500
63,0,147,147,147,295.500,1663.500
64,0,163,163,163,447.500,1659.500
65,0,158,158,158,623.500,1659.500
66,0,169,169,169,797.500,1653.500
67,0,198,198,198,961.500,1571.500
68,0,170,170,170,1077.500,1699.500
69,0,173,173,173,1295.500,1667.500
70,0,147,147,147,1363.500,1595.500
71,0,161,161,161,1533.500,1633.500
72,0,157,157,157,1723.500,1533.500
73,0,163,163,163,1785.500,1599.500
74,0,167,167,167,1971.500,1519.500
75,0,142,142,142,2175.500,1509.500
76,0,173,173,173,2387.500,1483.500
77,0,153,153,153,2217.500,1825.500
78,0,164,164,164,2271.500,1901.500
79,0,171,171,171,1969.500,1865.500
80,0,147,147,147,1725.500,1903.500
81,0,191,191,191,1431.500,1903.500
